name,full_name,url,visibility,default_branch,type,is_archived,is_fork,is_template,primary_language,created_at,last_updated,last_pushed,disk_usage_kb,criticality,data_sensitivity,clone_exists,local_path,git_branch,git_uncommitted,git_last_commit,description
jol-site-funeral,journeyoflife-org/jol-site-funeral,https://github.com/journeyoflife-org/jol-site-funeral,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-funeral,feature/stage0-gate-remediation,True,557aba4 feat(frontend): implement page package 11 — Vilnius Funeral Services landing,JOL vertical: funeral — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-orthodox,journeyoflife-org/jol-site-orthodox,https://github.com/journeyoflife-org/jol-site-orthodox,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-orthodox,feature/stage0-gate-remediation,True,b2abe65 feat(frontend): implement page package 09 — Vilnius Orthodox Cathedral landing,JOL vertical: orthodox — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-other-church,journeyoflife-org/jol-site-other-church,https://github.com/journeyoflife-org/jol-site-other-church,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-other-church,feature/stage0-gate-remediation,True,9165d23 feat(frontend): implement page package 10 — Vilnius Greek Catholic Church landing,JOL vertical: other-church — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-parish,journeyoflife-org/jol-site-parish,https://github.com/journeyoflife-org/jol-site-parish,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-parish,feature/stage0-gate-remediation,True,64d1da6 feat(frontend): implement page package 07 — Parish of St. John Vilnius landing,JOL vertical: parish — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
jol-site-protestant,journeyoflife-org/jol-site-protestant,https://github.com/journeyoflife-org/jol-site-protestant,PUBLIC,main,SITE-SPOKE,False,False,False,TypeScript,2026-09-10,2026-09-16,2026-09-16,27,MEDIUM,LOW,True,/opt/jol/repos/jol-site-protestant,feature/stage0-gate-remediation,True,4d2b767 feat(frontend): implement page package 08 — Kaunas Lutheran Church landing,JOL vertical: protestant — Next.js 14 spoke consuming @jol-hub/* packages (ADR-011)
.github,journeyoflife-org/.github,https://github.com/journeyoflife-org/.github,PUBLIC,main,ORG-DEFAULTS,False,False,False,N/A,2026-08-31,2026-09-11,2026-09-11,25,LOW,LOW,True,/opt/jol/repos/.github,main,False,888b217 feat: establish organization-wide community-health defaults,"Organization default community health files (SECURITY.md; CODE_OF_CONDUCT.md)"
jol-analytics-ai,journeyoflife-org/jol-analytics-ai,https://github.com/journeyoflife-org/jol-analytics-ai,PUBLIC,main,TIER1-PRIMARY,False,False,False,Python,2026-02-04,2026-09-16,2026-09-16,92,LOW,HIGH-PCI,True,/opt/jol/repos/jol-analytics-ai,main,True,"6d4d7aa chore: add dependabot ignore rules for pathspec; black; mypy (dbt-core conflict)","Analytics and AI services for Journey Of Life; providing insights; reporting; data enrichment; and intelligent recommendations across platform datasets and user interactions."
jol-bitrix24-integration,journeyoflife-org/jol-bitrix24-integration,https://github.com/journeyoflife-org/jol-bitrix24-integration,PUBLIC,main,TIER3-INTEGRATION,False,False,False,Python,2026-02-04,2026-09-16,2026-09-16,84,LOW,LOW,True,/opt/jol/repos/jol-bitrix24-integration,main,False,3420da0 fix: add explicit __init__ methods to resolve 4 Qodana missing-constructor warnings,"Integration layer between Journey Of Life and Bitrix24 CRM; enabling secure synchronization of contacts; organizations; leads; orders; and automation workflows at scale."
jol-domain-taxonomy,journeyoflife-org/jol-domain-taxonomy,https://github.com/journeyoflife-org/jol-domain-taxonomy,PUBLIC,main,TIER3-INTEGRATION,False,False,False,N/A,2026-02-04,2026-09-16,2026-09-16,7,LOW,LOW,True,/opt/jol/repos/jol-domain-taxonomy,main,False,1aa7bfd Initial commit,"Canonical taxonomy and classification rules for Journey Of Life; defining denominations; institution types; services; geographic mappings; and standardized identifiers used across all platform components."
jol-link-registry,journeyoflife-org/jol-link-registry,https://github.com/journeyoflife-org/jol-link-registry,PUBLIC,main,TIER3-INTEGRATION,False,False,False,Python,2026-02-04,2026-09-16,2026-09-16,62,LOW,LOW,True,/opt/jol/repos/jol-link-registry,main,True,5c94ec5 chore: bump github/codeql-action from v3 to v4,"Centralized registry of Journey Of Life (JOL) web links and associated codes. Designed for large-scale indexing; validation; and integration with JOL applications and services."
jol-repo-template,journeyoflife-org/jol-repo-template,https://github.com/journeyoflife-org/jol-repo-template,PUBLIC,main,TEMPLATE,False,False,True,Makefile,2026-07-16,2026-09-16,2026-09-16,22,LOW,LOW,True,/opt/jol/repos/jol-repo-template,main,True,edd9bbe feat: initial enterprise repository template,Enterprise repository template for the Journey of Life platform
jol-scripts,journeyoflife-org/jol-scripts,https://github.com/journeyoflife-org/jol-scripts,PUBLIC,main,TIER4-INFRA,False,False,False,Python,2026-07-15,2026-08-26,2026-09-14,32,LOW,LOW,True,/opt/jol/repos/jol-scripts,main,False,ee742d6 fix(ci): use space-separated args format for Qodana action,
